path,exposure_seconds,method,source
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10005.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15540.txt,0.1,exposure_val_secs,"-Exposure
0.1 sec (1/10)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9251.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21628.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/320)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21633.txt,0.25,exposure_val_secs,"-Exposure
0.25 sec (1/4)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16148.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif12785.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23181.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10484.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/1000)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23102.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1653.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/1250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif24883.txt,0.125,exposure_val_secs,"-Exposure
0.125 sec (1/8)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15045.txt,0.022,exposure_val_secs,"-Exposure
0.022 sec (1/45)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20827.txt,0.006,exposure_val_secs,"-Exposure
0.006 sec (1/180)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2262.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11952.txt,0.067,exposure_val_secs,"-Exposure
0.067 sec (1/15)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2434.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif17735.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif6766.txt,30.0,exposure_val_secs,"-Exposure
30 sec (30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21787.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11198.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif14713.txt,0.7,exposure_val_secs,"-Exposure
0.7 sec (7/10)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif85.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3625.txt,0.0004,exposure_val_fracsecs,"-Exposure
1/2500 sec"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3062.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif6140.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5508.txt,0.25,exposure_val_secs,"-Exposure
0.25 sec (1/4)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10457.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22416.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/640)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2025.txt,0.025,exposure_val_secs,"-Exposure
0.025 sec (1/40)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11627.txt,0.125,exposure_val_secs,"-Exposure
0.125 sec (1/8)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif13783.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22707.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/640)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21061.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif4443.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1641.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18200.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (3/1000)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif17972.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18723.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18513.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/320)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif7495.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21796.txt,0.009,exposure_val_secs,"-Exposure
0.009 sec (5/568)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2835.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8293.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif12700.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22649.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/350)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9970.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif6080.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (5368709/536870912)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif589.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18756.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif17078.txt,0.2,exposure_val_secs,"-Exposure
0.2 sec (1/5)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif24421.txt,0.067,exposure_val_secs,"-Exposure
0.067 sec (1/15)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16338.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10663.txt,0.077,exposure_val_secs,"-Exposure
0.077 sec (1/13)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif12899.txt,0.3,exposure_val_secs,"-Exposure
0.3 sec (3/10)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif19071.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8425.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8778.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif4690.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif7177.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3840.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23053.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif17369.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif12795.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/320)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16324.txt,0.077,exposure_val_secs,"-Exposure
0.077 sec (1/13)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2973.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20725.txt,0.125,exposure_val_secs,"-Exposure
0.125 sec (1/8)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22090.txt,0.024,exposure_val_secs,"-Exposure
0.024 sec (1/42)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21742.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (10/2729)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif4115.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23931.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif14437.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8164.txt,0.05,exposure_val_secs,"-Exposure
0.05 sec (1/20)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10359.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/350)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3839.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/2000)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif19910.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3661.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5863.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/640)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif654.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1983.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif6910.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9095.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1750.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif13720.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10625.txt,0.1,exposure_val_secs,"-Exposure
0.1 sec (1/10)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16250.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (949/1000000)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5947.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3673.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/800)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1213.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11433.txt,0.025,exposure_val_secs,"-Exposure
0.025 sec (1/40)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif1482.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif13933.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif24677.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif12191.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/800)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18944.txt,0.167,exposure_val_secs,"-Exposure
0.167 sec (1/6)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16627.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif13331.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10396.txt,0.167,exposure_val_secs,"-Exposure
0.167 sec (1/6)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8232.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11566.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15458.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5236.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/570)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif7584.txt,0.000125,exposure_val_fracsecs,"-Exposure
1/8000 sec"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5576.txt,0.1,exposure_val_secs,"-Exposure
0.1 sec (1/10)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif7384.txt,0.025,exposure_val_secs,"-Exposure
0.025 sec (1/40)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5979.txt,0.053,exposure_val_secs,"-Exposure
0.053 sec (1/19)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11507.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif14471.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif6564.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15518.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11196.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16441.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2367.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20832.txt,0.167,exposure_val_secs,"-Exposure
0.167 sec (1/6)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif4967.txt,0.025,exposure_val_secs,"-Exposure
0.025 sec (1/40)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9430.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/320)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10081.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/800)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif13112.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/320)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9928.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9862.txt,1.0,exposure_val_secs,"-Exposure
1 sec (1)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif859.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5347.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5159.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/640)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18985.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/400)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20442.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5681.txt,0.067,exposure_val_secs,"-Exposure
0.067 sec (1/15)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15480.txt,0.006,exposure_val_secs,"-Exposure
0.006 sec (1/160)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15757.txt,0.022,exposure_val_secs,"-Exposure
0.022 sec (1/45)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif6718.txt,0.011,exposure_val_secs,"-Exposure
0.011 sec (1/90)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif15315.txt,0.013,exposure_val_secs,"-Exposure
0.013 sec (1/80)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23886.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif10782.txt,0.004,exposure_val_secs,"-Exposure
0.004 sec (1/250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif3254.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (5/4132)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18399.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2864.txt,0.003,exposure_val_secs,"-Exposure
0.003 sec (1/320)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif24303.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif7148.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/800)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif19331.txt,0.048,exposure_val_secs,"-Exposure
0.048 sec (1/21)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22605.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/1600)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9939.txt,0.067,exposure_val_secs,"-Exposure
0.067 sec (1/15)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22210.txt,0.167,exposure_val_secs,"-Exposure
0.167 sec (1/6)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif22910.txt,0.025,exposure_val_secs,"-Exposure
0.025 sec (1/40)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16721.txt,0.04,exposure_val_secs,"-Exposure
0.04 sec (1/25)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9514.txt,0.011,exposure_val_secs,"-Exposure
0.011 sec (11930465/1073741824)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16447.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/1250)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20350.txt,15.0,exposure_val_secs,"-Exposure
15 sec (15)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9065.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif13171.txt,0.001,exposure_val_secs,"-Exposure
0.001 sec (1/2000)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif9718.txt,0.125,exposure_val_secs,"-Exposure
0.125 sec (1/8)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20472.txt,0.05,exposure_val_secs,"-Exposure
0.05 sec (1/20)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif17732.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18194.txt,0.2,exposure_val_secs,"-Exposure
0.2 sec (1/5)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif14880.txt,0.01,exposure_val_secs,"-Exposure
0.01 sec (1/100)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif4782.txt,0.04,exposure_val_secs,"-Exposure
0.04 sec (1/25)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif21375.txt,0.002,exposure_val_secs,"-Exposure
0.002 sec (1/500)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23262.txt,0.0003125,exposure_val_fracsecs,"-Exposure
1/3200 sec"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif23504.txt,0.02,exposure_val_secs,"-Exposure
0.02 sec (1/50)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif12839.txt,0.011,exposure_val_secs,"-Exposure
0.011 sec (1/90)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif17182.txt,0.033,exposure_val_secs,"-Exposure
0.033 sec (1/30)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif2749.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif11467.txt,0.077,exposure_val_secs,"-Exposure
0.077 sec (1/13)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif20622.txt,0.0004,exposure_val_fracsecs,"-Exposure
1/2500 sec"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif16352.txt,0.017,exposure_val_secs,"-Exposure
0.017 sec (1/60)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif18692.txt,0.005,exposure_val_secs,"-Exposure
0.005 sec (1/200)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif8849.txt,0.2,exposure_val_secs,"-Exposure
0.2 sec (1/5)"
/root/workspace/sc-diffusion-pipe/datatset/mirflickr/meta/exif/exif5420.txt,0.008,exposure_val_secs,"-Exposure
0.008 sec (1/125)"
